Time,CO,rh,MOS
68580,0.556548108,34.5281856,0.6680938
68610,0.556375015,34.53671399,0.667580562
68640,0.555658875,34.51580099,0.666996117
68670,0.555430292,34.46186448,0.666445931
68700,0.553661069,34.50632612,0.665030069
68730,0.555173092,34.39777438,0.665087769
68760,0.554488015,34.39083203,0.665570938
68790,0.555138042,34.52175896,0.666016933
68820,0.555242815,34.56932616,0.667013246
68850,0.556317725,34.57210628,0.667924517
68880,0.556903877,34.5439527,0.668974792
68910,0.556605792,34.52796154,0.6692825
68940,0.557206754,34.51520457,0.668775277
68970,0.558098992,34.50551685,0.668096383
69000,0.555509638,34.50540712,0.667694746
69030,0.554377446,34.48894731,0.665274077
69060,0.554591362,34.47558508,0.663319738
69090,0.554932723,34.42007438,0.6624808
69120,0.553067725,34.26331113,0.662022167
69150,0.552391846,34.08798257,0.662126238
69180,0.552165877,33.87185258,0.662421915
69210,0.552213946,34.24475574,0.662775262
69240,0.555406262,34.57644485,0.663979592
69270,0.556330742,34.59485672,0.666296917
69300,0.557919283,34.55616951,0.669541692
69330,0.558473585,34.53519438,0.671953162
69360,0.560105792,34.5204011,0.673274054
69390,0.5611106,34.50395004,0.674377438
69420,0.561197169,34.48158719,0.674514454
69450,0.560389446,34.4799147,0.673554092
69480,0.559333342,34.48267495,0.672045583
69510,0.558634638,34.46643825,0.670365415
69540,0.555855785,34.42569108,0.669306515
69570,0.556576938,34.26774536,0.667742831
69600,0.554954369,34.12559803,0.666335377
69630,0.556257833,34.18998309,0.666063833
69660,0.557007223,34.4764898,0.664991623
69690,0.557002415,34.554475,0.666132238
69720,0.559049508,34.5300954,0.667087275
69750,0.560319723,34.50084904,0.667776477
69780,0.5595409,34.48417183,0.667301738
69810,0.559903675,34.46408704,0.666257833
69840,0.558622623,34.45564707,0.665127446
69870,0.557483192,34.43703128,0.663234392
69900,0.557052915,34.42497869,0.661800515
69930,0.555189938,34.41864739,0.659168285
69960,0.554230815,34.41206545,0.658733192
69990,0.553822925,34.41096053,0.658975292
70020,0.555935115,34.39709519,0.658806508
70050,0.554699554,34.37449329,0.658474777
70080,0.553920692,34.36350161,0.657639438
70110,0.552898458,34.35984194,0.656976583
