Time,CO,rh,MOS,vocs
7.17E-01,8.31E-01,9.20E-01,7.18E-01,0.721731096
7.18E-01,8.36E-01,9.16E-01,7.07E-01,0.733883218
7.18E-01,8.25E-01,9.13E-01,6.87E-01,0.712817738
7.18E-01,8.11E-01,8.73E-01,6.75E-01,0.700134502
7.19E-01,7.96E-01,8.08E-01,6.55E-01,0.686860194
7.19E-01,7.80E-01,7.28E-01,6.45E-01,0.70977878
7.19E-01,7.96E-01,7.80E-01,6.38E-01,0.67817461
7.20E-01,8.04E-01,9.11E-01,6.33E-01,0.680421918
7.20E-01,8.11E-01,9.63E-01,6.49E-01,0.727156128
7.20E-01,8.32E-01,9.60E-01,6.63E-01,0.693171447
7.21E-01,8.25E-01,9.48E-01,6.58E-01,0.724333356
7.21E-01,8.03E-01,9.38E-01,6.44E-01,0.699465702
7.21E-01,7.98E-01,9.27E-01,6.43E-01,0.656145027
7.22E-01,7.83E-01,9.18E-01,6.29E-01,0.713995708
7.22E-01,7.72E-01,8.83E-01,6.16E-01,0.678247393
7.22E-01,7.46E-01,8.36E-01,5.96E-01,0.713646629
7.23E-01,7.35E-01,7.75E-01,5.87E-01,0.701249116
7.23E-01,7.21E-01,7.38E-01,5.70E-01,0.720376345
7.24E-01,7.27E-01,8.89E-01,5.56E-01,0.674679176
7.24E-01,7.28E-01,9.63E-01,5.55E-01,0.676200354
7.24E-01,7.42E-01,9.69E-01,5.72E-01,0.67029103
7.25E-01,7.40E-01,9.56E-01,5.76E-01,0.685054065
7.25E-01,7.54E-01,9.42E-01,5.75E-01,0.686043974
7.25E-01,7.47E-01,9.32E-01,5.80E-01,0.688643453
7.26E-01,7.44E-01,9.18E-01,5.82E-01,0.70781086
7.26E-01,7.35E-01,9.01E-01,5.75E-01,0.691965043
7.26E-01,7.25E-01,8.55E-01,5.67E-01,0.663508774
7.27E-01,7.26E-01,8.10E-01,5.49E-01,0.668455231
7.27E-01,7.35E-01,8.79E-01,5.40E-01,0.654742681
7.27E-01,7.47E-01,9.21E-01,5.39E-01,0.654155936
7.28E-01,7.37E-01,9.12E-01,5.42E-01,0.656954602
7.28E-01,7.35E-01,8.98E-01,5.41E-01,0.664622924
7.28E-01,7.41E-01,8.89E-01,5.39E-01,0.69143362
7.29E-01,7.32E-01,8.79E-01,5.34E-01,0.661706508
7.29E-01,7.22E-01,8.54E-01,5.21E-01,0.651666327
7.29E-01,7.18E-01,7.81E-01,5.00E-01,0.655438986
7.30E-01,6.95E-01,7.31E-01,4.78E-01,0.661771101
7.30E-01,6.90E-01,7.44E-01,4.66E-01,0.683947641
7.30E-01,7.07E-01,8.55E-01,4.55E-01,0.699007834
7.31E-01,7.20E-01,8.86E-01,4.60E-01,0.665051123
7.31E-01,7.26E-01,8.73E-01,4.64E-01,0.687557118
7.32E-01,7.31E-01,8.58E-01,4.63E-01,0.658049127
7.32E-01,7.22E-01,8.47E-01,4.61E-01,0.667612433
7.32E-01,7.21E-01,8.38E-01,4.54E-01,0.648308577
7.33E-01,7.27E-01,8.11E-01,4.43E-01,0.643849657
7.33E-01,7.07E-01,7.30E-01,4.25E-01,0.667289004
7.33E-01,7.00E-01,7.01E-01,4.10E-01,0.628536655
7.34E-01,7.06E-01,8.14E-01,3.97E-01,0.662490276
7.34E-01,7.14E-01,8.42E-01,3.96E-01,0.632069949
7.34E-01,7.13E-01,8.29E-01,4.04E-01,0.610310945
7.35E-01,7.17E-01,8.15E-01,4.13E-01,0.616475396
7.35E-01,7.07E-01,8.06E-01,4.04E-01,0.618843082
7.35E-01,6.91E-01,8.02E-01,4.02E-01,0.624722583
7.36E-01,6.89E-01,7.90E-01,3.91E-01,0.615655468
7.36E-01,6.75E-01,7.65E-01,3.69E-01,0.599710135
7.36E-01,6.56E-01,7.56E-01,3.61E-01,0.633812876
7.37E-01,6.56E-01,7.12E-01,3.59E-01,0.625276413
7.37E-01,6.45E-01,7.07E-01,3.61E-01,0.600012084
7.37E-01,6.52E-01,7.83E-01,3.66E-01,0.624054247
7.38E-01,6.63E-01,8.01E-01,3.68E-01,0.590668055
7.38E-01,6.62E-01,7.97E-01,3.68E-01,0.580329789
7.38E-01,6.72E-01,7.85E-01,3.67E-01,0.597931358
7.39E-01,6.56E-01,7.74E-01,3.66E-01,0.611773712
7.39E-01,6.50E-01,7.65E-01,3.54E-01,0.588501565
7.39E-01,6.47E-01,7.57E-01,3.49E-01,0.587892723
7.40E-01,6.50E-01,7.22E-01,3.45E-01,0.599691437
7.40E-01,6.34E-01,6.72E-01,3.36E-01,0.597437794
7.40E-01,6.34E-01,6.72E-01,3.36E-01,0.653486828
7.41E-01,6.30E-01,6.15E-01,3.37E-01,0.599808261
7.41E-01,6.32E-01,6.64E-01,3.29E-01,0.582041655
7.41E-01,6.51E-01,7.45E-01,3.31E-01,0.587548588
7.42E-01,6.72E-01,7.84E-01,3.45E-01,0.568079078
7.42E-01,6.70E-01,7.79E-01,3.57E-01,0.583325787
7.42E-01,6.87E-01,7.70E-01,3.66E-01,0.560571929
7.43E-01,6.91E-01,7.66E-01,3.58E-01,0.538223089
7.43E-01,6.75E-01,7.61E-01,3.55E-01,0.541901949
7.43E-01,6.73E-01,7.58E-01,3.47E-01,0.58322488
7.44E-01,6.67E-01,7.49E-01,3.35E-01,0.580665115
7.44E-01,6.61E-01,7.11E-01,3.29E-01,0.553396707
7.44E-01,6.56E-01,6.82E-01,3.14E-01,0.541109372
7.45E-01,6.50E-01,7.08E-01,3.12E-01,0.548761469
7.45E-01,6.49E-01,7.62E-01,3.19E-01,0.555830376
7.45E-01,6.67E-01,7.69E-01,3.35E-01,0.5638144
7.46E-01,6.65E-01,7.63E-01,3.48E-01,0.554881725
7.46E-01,6.65E-01,7.54E-01,3.47E-01,0.561358015
7.46E-01,6.53E-01,7.48E-01,3.40E-01,0.561576209
7.47E-01,6.46E-01,7.43E-01,3.30E-01,0.5737631
7.47E-01,6.37E-01,7.37E-01,3.28E-01,0.575826982
7.47E-01,6.34E-01,7.27E-01,3.18E-01,0.573658948
7.48E-01,6.25E-01,7.01E-01,3.03E-01,0.596275276
7.48E-01,6.10E-01,7.00E-01,2.83E-01,0.5728452
7.49E-01,5.99E-01,6.85E-01,2.76E-01,0.551346268
7.49E-01,6.00E-01,7.20E-01,2.73E-01,0.574028889
7.49E-01,5.99E-01,7.35E-01,2.81E-01,0.562499826
7.50E-01,6.03E-01,7.32E-01,2.98E-01,0.547869376
7.50E-01,6.10E-01,7.23E-01,2.98E-01,0.552340504
7.50E-01,6.03E-01,7.18E-01,2.97E-01,0.562915353
7.51E-01,5.83E-01,7.12E-01,3.00E-01,0.575223703
7.51E-01,6.00E-01,7.09E-01,2.94E-01,0.560951296
7.51E-01,5.87E-01,6.83E-01,2.86E-01,0.53453913
7.52E-01,5.74E-01,6.49E-01,2.76E-01,0.555653595
7.52E-01,5.94E-01,6.57E-01,2.76E-01,0.522824015
7.52E-01,5.97E-01,6.74E-01,2.80E-01,0.543773444
7.53E-01,6.07E-01,7.25E-01,2.95E-01,0.546835272
7.53E-01,6.17E-01,7.26E-01,3.19E-01,0.544668782
7.53E-01,6.22E-01,7.13E-01,3.37E-01,0.54317341
7.54E-01,6.17E-01,7.05E-01,3.45E-01,0.588340083
7.54E-01,6.19E-01,6.99E-01,3.47E-01,0.558548841
7.54E-01,6.15E-01,6.97E-01,3.42E-01,0.574100745
7.55E-01,6.06E-01,6.91E-01,3.43E-01,0.581707256
